O3+hv-->O(1D)+O2 fjo3a
data a0 +4.651E-08 +8.749E-08 +1.055E-07 +1.133E-07 +1.151E-07 +1.183E-07 +1.272E-07
data a1 +1.471E-06 -5.579E-07 -1.934E-06 -2.890E-06 -3.460E-06 -3.884E-06 -4.293E-06
data a2 -1.785E-06 +1.137E-05 +2.178E-05 +3.069E-05 +3.851E-05 +4.690E-05 +5.839E-05
data a3 +7.576E-05 +6.905E-05 +5.626E-05 +4.228E-05 +2.885E-05 +1.512E-05 -2.091E-07
data a4 -3.260E-05 -3.490E-05 -3.152E-05 -2.661E-05 -2.164E-05 -1.637E-05 -1.054E-05
O3+hv-->O(3P)+O2 fjo3b
data a0 +4.516E-06 +7.547E-06 +1.859E-05 +2.901E-05 +3.846E-05 +4.970E-05 +6.275E-05
data a1 +0.0002296 +0.0011360 +0.0015160 +0.0017150 +0.0018930 +0.0020350 +0.0021490
data a2 +0.0048210 -0.0004056 -0.0031760 -0.0047490 -0.0062100 -0.0074570 -0.0085580
data a3 -0.0181000 -0.0048620 +0.0032900 +0.0080470 +0.0125900 +0.0164900 +0.0200600
data a4 +0.0290600 +0.0114500 -0.0006084 -0.0077740 -0.0147600 -0.0207100 -0.0262900
data a5 -0.0220600 -0.0101800 -0.0013790 +0.0039210 +0.0091710 +0.0136000 +0.0178300
data a6 +0.0064610 +0.0032550 +0.0007384 -0.0007947 -0.0023330 -0.0036150 -0.0048620
H2O2+hv-->2OH fjh2o2
data a0 +5.089E-08 +6.023E-08 +5.978E-08 +5.443E-08 +4.627E-08 +3.871E-08 +3.673E-08
data a1 +1.201E-06 +5.192E-07 +2.428E-07 +4.996E-07 +1.497E-06 +3.430E-06 +6.449E-06
data a2 +1.137E-05 +2.353E-05 +3.276E-05 +3.898E-05 +4.103E-05 +3.737E-05 +2.728E-05
data a3 -8.381E-07 -2.751E-05 -5.306E-05 -7.435E-05 -8.808E-05 -8.974E-05 -7.671E-05
data a4 -8.771E-06 +1.309E-05 +3.825E-05 +6.138E-05 +7.863E-05 +8.497E-05 +7.717E-05
data a5 +4.551E-06 -1.956E-06 -1.065E-05 -1.915E-05 -2.595E-05 -2.914E-05 -2.739E-05
NO2+hv-->NO+O(3P) fjno2
data a0 +0.0001472 +0.0001613 +0.0001628 +0.0001622 +0.0001649 +0.0001825 +0.0002437
data a1 +0.0028890 +0.0013940 +0.0023140 +0.0054820 +0.0113900 +0.0204400 +0.0321600
data a2 +0.0341300 +0.0841500 +0.1090000 +0.1127000 +0.0920100 +0.0416500 -0.0359800
data a3 -0.0451700 -0.2353000 -0.3583000 -0.4164000 -0.3967000 -0.2779000 -0.0626700
